building_category,space_id,canonical_name,raw_name_example,raw_department_example,confidence_0_1,notes
Retail / Mixed-Use,RET_RESTROOM_PUB,Public Restrooms,,,,
Retail / Mixed-Use,RET_MGMT_OFFICE,Property Management Office,,,,
Retail / Mixed-Use,RET_SECURITY,Security / Surveillance Room,,,,
Retail / Mixed-Use,RET_LOADING,Loading / Receiving,,,,
Retail / Mixed-Use,RET_TRASH_COMPACTOR,Trash / Recycling / Compactor,,,,
Retail / Mixed-Use,RET_MECH,Main Mechanical,,,,
Retail / Mixed-Use,RET_ELEC,Electrical Room,,,,
Senior Living / Assisted Living,SL_ENTRY,Entry / Reception Lobby,,,,
Senior Living / Assisted Living,SL_ADMIN,Administrative Offices,,,,
Senior Living / Assisted Living,SL_RESIDENT_UNIT,Resident Suite (Typical AL),,,,
Senior Living / Assisted Living,SL_MEMORY_UNIT,Memory Care Resident Room,,,,
Senior Living / Assisted Living,SL_CORRIDOR,Resident Corridor,,,,
Senior Living / Assisted Living,SL_DINING,Main Dining Room,,,,
Senior Living / Assisted Living,SL_KITCHEN,Commercial Kitchen,,,,
Senior Living / Assisted Living,SL_ACTIVITY,Activity / Multi-Purpose Room,,,,
Senior Living / Assisted Living,SL_WELLNESS,Wellness / Clinic Room,,,,
Senior Living / Assisted Living,SL_MED_STATION,Medication Station / Nurse Station,,,,
Senior Living / Assisted Living,SL_SPA_BATH,Spa Bathing / Assisted Bathing,,,,
Senior Living / Assisted Living,SL_SALON,Beauty Salon / Barber,,,,
Senior Living / Assisted Living,SL_LAUNDRY,Laundry (Central + Resident),,,,
Senior Living / Assisted Living,SL_LOUNGE,Living Room / Lounge,,,,
Senior Living / Assisted Living,SL_OUTDOOR,Secure Courtyard / Garden,,,,
Senior Living / Assisted Living,SL_RESTROOM,Public Restrooms,,,,
Senior Living / Assisted Living,SL_MECH,Mechanical Room,,,,
Senior Living / Assisted Living,SL_ELEC,Electrical Room,,,,
Student Housing / Dormitory,STU_ENTRY,Main Entry / Lobby,,,,
Student Housing / Dormitory,STU_DOUBLE_ROOM,Double Room (Traditional),,,,
Student Housing / Dormitory,STU_SINGLE_ROOM,Single Room,,,,
Student Housing / Dormitory,STU_SUITE_UNIT,Suite (4-person typical),,,,
Student Housing / Dormitory,STU_APT_UNIT,Student Apartment (2-4 bedroom),,,,
Student Housing / Dormitory,STU_SHARED_BATH,Shared Bathroom (Gang/Community),,,,
Student Housing / Dormitory,STU_CORRIDOR,Primary Corridor,,,,
Student Housing / Dormitory,STU_LOUNGE,Floor Lounge / Common Room,,,,
Student Housing / Dormitory,STU_STUDY,Study Room / Quiet Space,,,,
Student Housing / Dormitory,STU_LAUNDRY,Laundry Room,,,,
Student Housing / Dormitory,STU_KITCHEN,Community Kitchen,,,,
Student Housing / Dormitory,STU_MAIL,Mailroom / Package Center,,,,
Student Housing / Dormitory,STU_RA_OFFICE,RA Office / Staff Suite,,,,
Student Housing / Dormitory,STU_MULTIPURPOSE,Multipurpose / Programming Room,,,,
Student Housing / Dormitory,STU_FITNESS,Fitness Room (if included),,,,
Student Housing / Dormitory,STU_BIKE,Bike Storage,,,,
Student Housing / Dormitory,STU_MECH,Mechanical Room,,,,
Student Housing / Dormitory,STU_ELEC,Electrical Room,,,,
Transit / Transportation,TRA_CONCOURSE,Main Concourse / Great Hall,,,,
Transit / Transportation,TRA_TICKETING,Ticketing / Customer Service,,,,
Transit / Transportation,TRA_FARE_CTRL,Fare Control / Turnstile Array,,,,
Transit / Transportation,TRA_WAITING,Waiting Area / Passenger Lounge,,,,
Transit / Transportation,TRA_PLATFORM,Platform / Boarding Area,,,,
Transit / Transportation,TRA_BUS_BERTHS,Bus Berths / Sawtooth Bays,,,,
Transit / Transportation,TRA_VERTICAL_CIRC,Escalators / Elevators / Stairs,,,,
Transit / Transportation,TRA_RETAIL,Retail / Food Concessions,,,,
Transit / Transportation,TRA_RESTROOM,Public Restrooms,,,,
Transit / Transportation,TRA_DRIVER_ROOM,Driver / Crew Break Room,,,,
Transit / Transportation,TRA_DISPATCH,Dispatch / Operations Control,,,,
Transit / Transportation,TRA_SECURITY,Transit Police / Security Office,,,,
Transit / Transportation,TRA_ADMIN,Administrative Offices,,,,
Transit / Transportation,TRA_RESTROOM_STAFF,Staff Restrooms,,,,
Transit / Transportation,TRA_BIKE_STORAGE,Bicycle Storage / Bike Share,,,,
Transit / Transportation,TRA_KISS_RIDE,Kiss-and-Ride / Rideshare Zone,,,,
Transit / Transportation,TRA_MECH,Main Mechanical,,,,
Transit / Transportation,TRA_ELEC,Electrical / Traction Power,,,,
